app,variable,required,scope,target,description
marketing-web,VITE_SUPABASE_URL,conditional,build+runtime,browser,"Supabase project URL; required unless running against local dev server"
marketing-web,VITE_SUPABASE_ANON_KEY,conditional,build+runtime,browser,"Supabase anon key for client SDK"
marketing-web,VITE_USE_MOCK,optional,build+runtime,browser,"Skip Supabase validation and use local mock data"
marketing-web,VITE_ENABLE_AGENT_CHAT,optional,build+runtime,browser,"Feature flag that toggles agent chat UI"
marketing-web,VITE_ADMIN_TOKEN,optional,build+runtime,browser,"Seed admin token used for local auth bypass"
marketing-web,VITE_SUPABASE_SERVICE_ROLE_KEY,local-only,runtime,server,"Only read in Node scripts/tests; never expose in prod"
marketing-web,VITE_MOBILITY_USER_ID,optional,build+runtime,browser,"Default mock user id when mocks enabled"
marketing-web,VITE_MOBILITY_USER_ROLES,optional,build+runtime,browser,"Default mock user roles when mocks enabled"
admin-app,NEXT_PUBLIC_USE_MOCKS,optional,build+runtime,browser,"Skip live service calls; blocks Supabase validation in prod"
admin-app,NEXT_PUBLIC_SUPABASE_URL,conditional,build+runtime,browser,"Supabase project URL for client runtime"
admin-app,NEXT_PUBLIC_SUPABASE_ANON_KEY,conditional,build+runtime,browser,"Supabase anon key for client runtime"
admin-app,SUPABASE_URL,conditional,runtime,server,"Service-role Supabase endpoint for server actions/functions"
admin-app,SUPABASE_SERVICE_ROLE_KEY,conditional,runtime,server,"Supabase service-role key for admin APIs"
admin-app,ADMIN_SESSION_SECRET,required,runtime,server,"Primary secret for signing admin session cookies (>=16 chars)"
admin-app,ADMIN_SESSION_SECRET_FALLBACK,optional,runtime,server,"Fallback secret to rotate without downtime"
admin-app,ADMIN_ACCESS_CREDENTIALS,optional,runtime,server,"JSON credentials list for username/password fallback"
admin-app,ADMIN_ACCESS_TOKENS,legacy,runtime,server,"Legacy comma-delimited bearer tokens"
admin-app,ADMIN_ALLOW_ANY_ACTOR,optional,runtime,server,"Enable open actor impersonation in non-prod"
admin-app,ADMIN_FLOW_WA_ID,optional,runtime,server,"WhatsApp flow identifier for admin actions"
admin-app,AGENT_CORE_URL,conditional,runtime,server,"Base URL for agent-core orchestrator"
admin-app,VOICE_BRIDGE_API_URL,conditional,runtime,server,"Base URL for voice bridge WebSocket API"
admin-app,NEXT_PUBLIC_ENVIRONMENT_LABEL,optional,build+runtime,browser,"UI label indicating environment"
admin-app,NEXT_PUBLIC_APP_URL,optional,runtime,server,"Override for absolute URL generation"
admin-app,LOG_DRAIN_URL,optional,runtime,server,"Pino log drain destination"
admin-app,SENTRY_DSN,optional,runtime,server,"Sentry DSN for server instrumentation"
admin-app,NEXT_PUBLIC_SENTRY_DSN,optional,build+runtime,browser,"Sentry DSN for client instrumentation"
admin-app,METRICS_DRAIN_URL,optional,runtime,server,"Push gateway for custom metrics"
admin-app,WHATSAPP_SEND_ENDPOINT,optional,runtime,server,"Override for WhatsApp send HTTP endpoint"
admin-app,NEXT_PUBLIC_VOICE_BRIDGE_API_URL,optional,build+runtime,browser,"Browser URL for voice bridge"
admin-app,NEXT_PUBLIC_AGENT_CORE_URL,optional,build+runtime,browser,"Browser URL for agent core"
admin-app,MARKETPLACE_VENDOR_URL,conditional,runtime,server,"Vendor service base URL"
admin-app,NEXT_PUBLIC_MARKETPLACE_VENDOR_URL,optional,build+runtime,browser,"Vendor service base URL for browser"
admin-app,WALLET_SERVICE_URL,conditional,runtime,server,"Wallet service base URL"
admin-app,NEXT_PUBLIC_WALLET_SERVICE_URL,optional,build+runtime,browser,"Wallet service base URL in browser"
admin-app,VERCEL_AUTOMATION_BYPASS_SECRET,optional,runtime,server,"Secret header for bypassing Vercel deployment protection"
services/agent-core,OPENAI_API_KEY,required,runtime,server,"OpenAI credential for orchestration"
services/agent-core,VOICE_BRIDGE_URL,required,runtime,server,"Internal voice bridge base URL"
services/agent-core,AGENT_API_URL,required,runtime,server,"Agent API base URL"
services/agent-core,KAFKA_BROKERS,required,runtime,server,"Kafka cluster connection string"
services/wallet-service,DATABASE_URL,required,runtime,server,"PostgreSQL connection string for Prisma"
services/wallet-service,SERVICE_JWT_KEYS,required,runtime,server,"Service-to-service JWT signing keys"
services/sip-ingress,REDIS_URL,required,runtime,server,"Redis connection string for rate limiting"
services/sip-ingress,KAFKA_BROKERS,required,runtime,server,"Kafka broker list"
